=== SHEET: background lists ===
COMPLETE	√	YES	X		1)	Yes	Phase	Description	Phase + Description		Description2	Phase + Description	Phase
					37)		01-2160-10000-	Blueprinting, Schedule, As-Builts	01-2160-10000- - (Blueprinting, Schedule, As-Builts)		Post Tension Slab	03-1107-90000- - (Post Tension Slab)	03-1107-90000-
					38)		01-2170-10000-	Photographs	01-2170-10000- - (Photographs)		Continuous Footing Subcontract	03-2100-10000- - (Continuous Footing Subcontract)	03-2100-10000-
					39)		01-2175-10000-	Real Time Video Camera	01-2175-10000- - (Real Time Video Camera)		Isolated Footing Subcontract	03-2200-10000- - (Isolated Footing Subcontract)	03-2200-10000-
					40)		01-2180-10000-	Security (Guard)	01-2180-10000- - (Security (Guard))		Caisson/ Piers	03-2600-10000- - (Caisson/ Piers)	03-2600-10000-
					41)		01-2190-10000-	Snow Removal	01-2190-10000- - (Snow Removal)		Structural Wall Subcontract	03-3100-10000- - (Structural Wall Subcontract)	03-3100-10000-
					42)		01-2195-10000-	Layout & Batter Boards/ CORE	01-2195-10000- - (Layout & Batter Boards/ CORE)		Form Footings	03-3101-10000- - (Form Footings)	03-3101-10000-
					43)		01-2220-10000-	Room & Board	01-2220-10000- - (Room & Board)		Form Footings	03-3101-90000- - (Form Footings)	03-3101-90000-
					44)		01-2250-10000-	Moving / Relocation Expense	01-2250-10000- - (Moving / Relocation Expense)		Form Pile Caps	03-3102-10000- - (Form Pile Caps)	03-3102-10000-
					45)		01-2300-10000-	Air Travel	01-2300-10000- - (Air Travel)		Form Pile Caps	03-3102-90000- - (Form Pile Caps)	03-3102-90000-
					46)		01-2700-10000-	Legal Fees	01-2700-10000- - (Legal Fees)		Form Walls to 6'	03-3103-10000- - (Form Walls to 6')	03-3103-10000-
					47)		01-2800-10000-	Accounting/Audit Fees	01-2800-10000- - (Accounting/Audit Fees)		Form Walls to 6`	03-3103-90000- - (Form Walls to 6`)	03-3103-90000-
					48)		01-2850-10000-	Textura Fee	01-2850-10000- - (Textura Fee)		Form Walls Over 6'	03-3104-10000- - (Form Walls Over 6')	03-3104-10000-
					49)		01-2900-10000-	Misc. Job Labor	01-2900-10000- - (Misc. Job Labor)		Form Walls Over 6`	03-3104-90000- - (Form Walls Over 6`)	03-3104-90000-
					50)		01-2901-10000-	Misc GC Job Carpentry	01-2901-10000- - (Misc GC Job Carpentry)		Form Piers or Columns	03-3105-10000- - (Form Piers or Columns)	03-3105-10000-
					51)		01-2910-10000-	Misc. Job Material	01-2910-10000- - (Misc. Job Material)		Form Piers or Columns	03-3105-90000- - (Form Piers or Columns)	03-3105-90000-
					53)		01-2920-10000-	Misc. Other Req'ts	01-2920-10000- - (Misc. Other Req'ts)		Shore Elevated Decks	03-3106-10000- - (Shore Elevated Decks)	03-3106-10000-
					54)		01-4010-10000-	Architect Fees	01-4010-10000- - (Architect Fees)		Shore Elevated Decks	03-3106-90000- - (Shore Elevated Decks)	03-3106-90000-
					55)		01-5010-10000-	Temporary Storage	01-5010-10000- - (Temporary Storage)		Form Elev Deck Edges	03-3107-10000- - (Form Elev Deck Edges)	03-3107-10000-
					56)		01-5015-10000-	Trailer Mobilize/Demob	01-5015-10000- - (Trailer Mobilize/Demob)		Form Elev Deck Edges	03-3107-90000- - (Form Elev Deck Edges)	03-3107-90000-
					57)		01-5020-10000-	Trailer Rent	01-5020-10000- - (Trailer Rent)		Edge Form Precast	03-3108-10000- - (Edge Form Precast)	03-3108-10000-
					58)		01-5021-10000-	Trailer Equipment/Supplies	01-5021-10000- - (Trailer Equipment/Supplies)		Edge Form Precast	03-3108-90000- - (Edge Form Precast)	03-3108-90000-
					59)		01-5022-10000-	Field Office - Spare	01-5022-10000- - (Field Office - Spare)		Edge Form Metal Deck	03-3109-10000- - (Edge Form Metal Deck)	03-3109-10000-
					60)		01-5023-10000-	Field Office - Spare	01-5023-10000- - (Field Office - Spare)		Edge Form Metal Deck	03-3109-90000- - (Edge Form Metal Deck)	03-3109-90000-
					61)		01-5030-10000-	Job Toilet	01-5030-10000- - (Job Toilet)		Form Beams	03-3110-10000- - (Form Beams)	03-3110-10000-
					62)		01-5040-10000-	Dust Partitions	01-5040-10000- - (Dust Partitions)		Form Beams	03-3110-90000- - (Form Beams)	03-3110-90000-
					63)		01-5050-10000-	Hoisting	01-5050-10000- - (Hoisting)		Edge Form SOG	03-3111-10000- - (Edge Form SOG)	03-3111-10000-
					64)		01-5060-10000-	Temporary Fencing	01-5060-10000- - (Temporary Fencing)		Edge Form SOG	03-3111-90000- - (Edge Form SOG)	03-3111-90000-
					65)		01-5065-10000-	Security	01-5065-10000- - (Security)		Underslab Vapor Barrier	03-3112-10000- - (Underslab Vapor Barrier)	03-3112-10000-
					66)		01-5070-10000-	Tree/ Plant Protect	01-5070-10000- - (Tree/ Plant Protect)		Underslab Vapor Barrier	03-3112-90000- - (Underslab Vapor Barrier)	03-3112-90000-
					67)		01-5080-10000-	Temporary Stairs	01-5080-10000- - (Temporary Stairs)		Form Column Box-outs	03-3113-10000- - (Form Column Box-outs)	03-3113-10000-
					68)		01-5090-10000-	Guardrails	01-5090-10000- - (Guardrails)		Form Column Box-outs	03-3113-90000- - (Form Column Box-outs)	03-3113-90000-
					69)		01-5100-10000-	Barricades	01-5100-10000- - (Barricades)		Form Concrete Stairs	03-3114-10000- - (Form Concrete Stairs)	03-3114-10000-
					70)		01-5110-10000-	Access Road	01-5110-10000- - (Access Road)		Form Concrete Stairs	03-3114-90000- - (Form Concrete Stairs)	03-3114-90000-
					71)		01-5120-10000-	Project Identification	01-5120-10000- - (Project Identification)		Set Bolt Templates	03-3115-10000- - (Set Bolt Templates)	03-3115-10000-
					72)		01-5135-10000-	Building Start up Electric	01-5135-10000- - (Building Start up Electric)		Set Bolt Templates	03-3115-90000- - (Set Bolt Templates)	03-3115-90000-
					73)		01-5140-10000-	Temp. Production Electricity	01-5140-10000- - (Temp. Production Electricity)		Grout Base Plates	03-3116-10000- - (Grout Base Plates)	03-3116-10000-
					74)		01-5160-10000-	Mobile/Cell Service	01-5160-10000- - (Mobile/Cell Service)		Grout Base Plates	03-3116-90000- - (Grout Base Plates)	03-3116-90000-
					75)		01-5170-10000-	Construction Water	01-5170-10000- - (Construction Water)		John Theis	03-3120-10000- - (John Theis)	03-3120-10000-
					76)		01-5180-10000-	Temporary Walls	01-5180-10000- - (Temporary Walls)		Bookkeeping	03-3130-10000- - (Bookkeeping)	03-3130-10000-
					77)		01-5185-10000-	Temporary Enclosures	01-5185-10000- - (Temporary Enclosures)		Stem Wall Subcontractor	03-3200-10000- - (Stem Wall Subcontractor)	03-3200-10000-
					78)		01-5200-10000-	Heat After Enclosure	01-5200-10000- - (Heat After Enclosure)		Carpenter	03-3210-10000- - (Carpenter)	03-3210-10000-
					79)		01-5230-10000-	Temp. Cooling	01-5230-10000- - (Temp. Cooling)		Mason Tenders	03-3220-10000- - (Mason Tenders)	03-3220-10000-
					80)		01-5235-10000-	Temporary Lighting	01-5235-10000- - (Temporary Lighting)		Operator	03-3230-10000- - (Operator)	03-3230-10000-
					81)		01-5240-10000-	Trailer Drinking Water	01-5240-10000- - (Trailer Drinking Water)		ICF Block	03-3300-10000- - (ICF Block)	03-3300-10000-
					82)		01-5260-10000-	Weekly Cleanup	01-5260-10000- - (Weekly Cleanup)		Place and Finish Footings	03-3301-10000- - (Place and Finish Footings)	03-3301-10000-
					83)		01-5270-10000-	Dumpsters	01-5270-10000- - (Dumpsters)		Place and Finish Footings	03-3301-90000- - (Place and Finish Footings)	03-3301-90000-
					84)		01-5280-10000-	Rubbish Removal	01-5280-10000- - (Rubbish Removal)		Place and Finish Pile Caps	03-3302-10000- - (Place and Finish Pile Caps)	03-3302-10000-
					85)		01-5300-10000-	Dust Control	01-5300-10000- - (Dust Control)		Place and Finish Pile Caps	03-3302-90000- - (Place and Finish Pile Caps)	03-3302-90000-
					86)		01-5301-10000-	Dust Control - Water Truck	01-5301-10000- - (Dust Control - Water Truck)		Place Walls	03-3303-10000- - (Place Walls)	03-3303-10000-
					87)		01-5302-10000-	Dust Control - Permits	01-5302-10000- - (Dust Control - Permits)		Place Walls	03-3303-90000- - (Place Walls)	03-3303-90000-
					88)		01-5303-10000-	Stormwater Prevention Plan	01-5303-10000- - (Stormwater Prevention Plan)		Place Piers or Columns	03-3304-10000- - (Place Piers or Columns)	03-3304-10000-
					89)		01-5350-10000-	Dress - Up & Reseed	01-5350-10000- - (Dress - Up & Reseed)		Place Piers or Columns	03-3304-90000- - (Place Piers or Columns)	03-3304-90000-
					90)		01-6000-10000-	Submittal Exchange	01-6000-10000- - (Submittal Exchange)		Place and Finish Elev Decks	03-3305-10000- - (Place and Finish Elev Decks)	03-3305-10000-
